txn_id,txn_date,txn_month,txn_quarter,txn_year,day_of_week,product_name,category,qty_purchased,unit_price_ngn,total_ngn,store_city,payment_method,customer_age_group,customer_gender,uci_invoice_no,uci_stock_code,data_source
TXN0000001,2022-07-19,7,3,2022,Tuesday,Coca-Cola Crate 24,Beverages,2,6757,13514,Ilorin,Cash,26-35,M,560504,22841,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000002,2024-02-07,2,1,2024,Wednesday,Peak Milk Tin 400g,Beverages,4,3612,14448,Abuja,POS,46-60,F,543285,85019A,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000003,2024-12-08,12,4,2024,Sunday,Tomato Paste 400g,Condiments & Seasonings,3,3527,10581,Kaduna,Cash,18-25,M,581412,23254,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000004,2022-01-16,1,1,2022,Sunday,Pringles Original 150g,Snacks & Confectionery,1,552,552,Enugu,Bank Transfer,18-25,F,541265,84231,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000005,2024-10-10,10,4,2024,Thursday,Gala Sausage Roll,Snacks & Confectionery,6,722,4332,Warri,POS,36-45,F,570458,22923,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000006,2023-07-01,7,3,2023,Saturday,Geisha Sardines 125g,Canned & Packaged Foods,2,1232,2464,Onitsha,Cash,60+,M,558679,22147,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000007,2024-03-30,3,1,2024,Saturday,Indomie Noodles 70g,Snacks & Confectionery,10,722,7220,Kaduna,Cash,26-35,M,548338,20724,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000008,2023-10-06,10,4,2023,Friday,Pringles Original 150g,Snacks & Confectionery,1,1785,1785,Abuja,Cash,26-35,M,569897,22956,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000009,2023-12-10,12,4,2023,Sunday,Omo Detergent 1kg,Personal Care,3,1411,4233,Onitsha,Cash,60+,M,538349,22610,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000010,2024-10-03,10,4,2024,Thursday,Bleach 1L,Household Essentials,2,5737,11474,Abuja,Bank Transfer,18-25,F,569261,22785,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000011,2024-11-02,11,4,2024,Saturday,Eggs Crate 30,Fresh & Perishable,12,3527,42324,Onitsha,Cash,36-45,M,574032,23355,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000012,2022-09-23,9,3,2022,Friday,Egusi Ground 500g,Condiments & Seasonings,1,4207,4207,Warri,Cash,60+,F,568046,23355,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000013,2022-08-05,8,3,2022,Friday,Tomato Paste 400g,Condiments & Seasonings,4,1402,5608,Owerri,Cash,26-35,F,562558,20725,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000014,2024-10-06,10,4,2024,Sunday,Bleach 1L,Household Essentials,10,1436,14360,Owerri,Cash,26-35,F,569897,84879,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000015,2022-07-06,7,3,2022,Wednesday,Omo Detergent 1kg,Personal Care,1,5635,5635,Warri,Cash,46-60,M,559163,71477,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000016,2024-08-16,8,3,2024,Friday,Indomie Noodles 70g,Snacks & Confectionery,12,357,4284,Ilorin,Cash,26-35,F,563428,21495,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000017,2023-08-30,8,3,2023,Wednesday,Pampers Small 36pk,Baby & Infant,1,2091,2091,Uyo,POS,46-60,F,564757,21791,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000018,2024-04-19,4,2,2024,Friday,Geisha Sardines 125g,Canned & Packaged Foods,2,722,1444,Benin City,Cash,26-35,M,550651,22523,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000019,2023-08-02,8,3,2023,Wednesday,Onions 1kg,Fresh & Perishable,1,2091,2091,Ibadan,Cash,26-35,F,562114,21993,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000020,2022-11-07,11,4,2022,Monday,Onions 1kg,Fresh & Perishable,6,1768,10608,Warri,Bank Transfer,26-35,F,574892,85099F,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000021,2023-07-14,7,3,2023,Friday,Hollandia Yoghurt 1L,Beverages,12,357,4284,Kano,Cash,46-60,F,559929,21499,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000022,2023-12-05,12,4,2023,Tuesday,Wheat Flour 5kg,Grains & Cereals,10,10591,105910,Ilorin,Bank Transfer,26-35,F,580729,23535,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000023,2023-10-04,10,4,2023,Wednesday,Cerelac Wheat 400g,Baby & Infant,1,16966,16966,Port Harcourt,Cash,36-45,F,569415,22776,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000024,2022-12-02,12,4,2022,Friday,Tomato Paste 400g,Condiments & Seasonings,6,2167,13002,Owerri,Cash,26-35,M,580311,84347,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000025,2024-01-17,1,1,2024,Wednesday,Huggies Medium 32pk,Baby & Infant,5,15300,76500,Abuja,Bank Transfer,26-35,F,541405,POST,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000026,2024-07-25,7,3,2024,Thursday,Bleach 1L,Household Essentials,1,5737,5737,Ibadan,Bank Transfer,60+,M,561192,22170,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000027,2024-10-18,10,4,2024,Friday,Coca-Cola Crate 24,Beverages,12,2091,25092,Uyo,Bank Transfer,60+,F,571554,23204,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000028,2022-11-20,11,4,2022,Sunday,Plantain Bunch,Fresh & Perishable,1,5397,5397,Ibadan,Bank Transfer,26-35,F,577506,22845,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000029,2024-12-01,12,4,2024,Sunday,Rice 50kg,Grains & Cereals,12,1062,12744,Uyo,POS,26-35,F,536572,21810,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000030,2024-01-12,1,1,2024,Friday,Chin-Chin 500g,Snacks & Confectionery,2,8457,16914,Uyo,Cash,60+,F,540992,22796,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000031,2024-09-25,9,3,2024,Wednesday,Golden Penny Spaghetti 500g,Pasta & Noodles,2,3187,6374,Port Harcourt,Cash,26-35,M,568193,23403,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000032,2024-07-17,7,3,2024,Wednesday,Wheat Flour 5kg,Grains & Cereals,12,1062,12744,Uyo,Cash,36-45,F,560270,75049L,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000033,2022-04-07,4,2,2022,Thursday,Palm Oil 2L,Cooking Oils & Fats,2,6757,13514,Abuja,Cash,60+,F,549196,48129,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000034,2022-06-08,6,2,2022,Wednesday,Cornedbeef 340g,Canned & Packaged Foods,12,4216,50592,Port Harcourt,Bank Transfer,18-25,M,556080,82583,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000035,2022-09-28,9,3,2022,Wednesday,Palm Oil 2L,Cooking Oils & Fats,1,4216,4216,Jos,Bank Transfer,60+,M,568716,22467,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000036,2024-07-24,7,3,2024,Wednesday,Peak Milk Tin 400g,Beverages,12,1402,16824,Aba,Bank Transfer,26-35,F,561037,23249,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000037,2024-02-25,2,1,2024,Sunday,Dangote Noodles 70g,Pasta & Noodles,6,2167,13002,Kaduna,Cash,36-45,M,545000,21531,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000038,2023-02-21,2,1,2023,Tuesday,Fresh Tomatoes 1kg,Fresh & Perishable,1,3187,3187,Warri,POS,26-35,F,544597,22569,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000039,2023-07-27,7,3,2023,Thursday,Dangote Noodles 70g,Pasta & Noodles,12,200,2400,Abuja,Cash,26-35,M,561518,21088,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000040,2022-11-25,11,4,2022,Friday,Plantain Bunch,Fresh & Perishable,1,8466,8466,Onitsha,Bank Transfer,26-35,F,578833,21770,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000041,2022-12-06,12,4,2022,Tuesday,Geisha Sardines 125g,Canned & Packaged Foods,8,357,2856,Abuja,POS,46-60,M,580960,85199S,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000042,2022-10-06,10,4,2022,Thursday,Geisha Sardines 125g,Canned & Packaged Foods,1,6757,6757,Uyo,Cash,60+,F,569897,82484,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000043,2024-10-06,10,4,2024,Sunday,Egusi Ground 500g,Condiments & Seasonings,12,2167,26004,Port Harcourt,Cash,46-60,F,569888,22699,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000044,2024-12-13,12,4,2024,Friday,Pringles Original 150g,Snacks & Confectionery,12,1785,21420,Kano,POS,36-45,F,538653,82482,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000045,2022-12-02,12,4,2022,Friday,Vegetable Oil 5L,Cooking Oils & Fats,1,3510,3510,Jos,Bank Transfer,60+,F,580148,22646,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000046,2022-04-14,4,2,2022,Thursday,Gala Sausage Roll,Snacks & Confectionery,12,1402,16824,Abuja,POS,26-35,F,550145,22556,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000047,2023-10-21,10,4,2023,Saturday,Huggies Medium 32pk,Baby & Infant,12,705,8460,Aba,POS,18-25,M,572231,23223,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000048,2023-06-14,6,2,2023,Wednesday,Palm Oil 4L,Condiments & Seasonings,2,1785,3570,Ilorin,Cash,60+,M,556776,22748,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000049,2022-07-06,7,3,2022,Wednesday,Cornedbeef 340g,Canned & Packaged Foods,8,722,5776,Port Harcourt,Bank Transfer,26-35,M,559144,23285,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000050,2022-06-29,6,2,2022,Wednesday,Huggies Medium 32pk,Baby & Infant,1,1062,1062,Ibadan,Bank Transfer,26-35,M,558459,21231,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000051,2024-10-12,10,4,2024,Saturday,Tissue Paper 12 rolls,Household Essentials,1,2091,2091,Abuja,Cash,46-60,F,570871,22756,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000052,2022-03-14,3,1,2022,Monday,Rice 50kg,Grains & Cereals,6,1785,10710,Uyo,Cash,26-35,F,546465,82582,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000053,2023-05-23,5,2,2023,Tuesday,Palm Oil 2L,Cooking Oils & Fats,12,1062,12744,Port Harcourt,Bank Transfer,18-25,M,554158,21868,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000054,2022-07-25,7,3,2022,Monday,Pampers Small 36pk,Baby & Infant,12,552,6624,Kaduna,Cash,60+,F,561100,85032C,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000055,2023-11-04,11,4,2023,Saturday,Eggs Crate 30,Fresh & Perishable,1,2091,2091,Ilorin,POS,60+,F,574561,84378,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000056,2022-11-02,11,4,2022,Wednesday,Palm Oil 2L,Cooking Oils & Fats,2,1062,2124,Port Harcourt,Cash,26-35,M,574076,20973,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000057,2022-11-07,11,4,2022,Monday,Wheat Flour 5kg,Grains & Cereals,1,3612,3612,Ilorin,Cash,18-25,M,574840,22207,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000058,2024-12-21,12,4,2024,Saturday,Vegetable Oil 5L,Cooking Oils & Fats,1,12265,12265,Uyo,Bank Transfer,26-35,M,539718,22692,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000059,2022-02-27,2,1,2022,Sunday,Golden Penny Spaghetti 500g,Pasta & Noodles,2,722,1444,Owerri,Cash,18-25,F,545066,22250,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000060,2024-01-14,1,1,2024,Sunday,Egusi Ground 500g,Condiments & Seasonings,2,1385,2770,Owerri,Cash,26-35,M,541219,22211,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000061,2024-11-15,11,4,2024,Friday,Cornedbeef 340g,Canned & Packaged Foods,1,8457,8457,Onitsha,Cash,36-45,M,576605,22487,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000062,2024-11-24,11,4,2024,Sunday,NAN Optipro 400g,Baby & Infant,4,4207,16828,Onitsha,Bank Transfer,36-45,F,578334,23355,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000063,2022-05-23,5,2,2022,Monday,Gino Tomatoes 400g,Canned & Packaged Foods,12,705,8460,Warri,POS,26-35,M,554132,23155,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000064,2023-01-13,1,1,2023,Friday,Gino Tomatoes 400g,Canned & Packaged Foods,1,9171,9171,Kano,POS,46-60,F,541104,22854,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000065,2023-09-20,9,3,2023,Wednesday,Bleach 1L,Household Essentials,12,1768,21216,Uyo,Cash,18-25,F,567522,21166,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000066,2022-11-29,11,4,2022,Tuesday,Milo 400g,Beverages,1,3510,3510,Enugu,Cash,36-45,F,579297,22653,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000067,2023-02-22,2,1,2023,Wednesday,Peak Milk Tin 400g,Beverages,1,1768,1768,Uyo,Cash,26-35,F,544684,84970L,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000068,2022-01-26,1,1,2022,Wednesday,Eggs Crate 30,Fresh & Perishable,1,9885,9885,Aba,Bank Transfer,46-60,F,542255,22427,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000069,2022-06-03,6,2,2022,Friday,Dangote Noodles 70g,Pasta & Noodles,12,1402,16824,Warri,Bank Transfer,26-35,M,555493,84949,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000070,2023-11-06,11,4,2023,Monday,Peak Milk Tin 400g,Beverages,12,1768,21216,Abuja,Cash,46-60,F,574733,23201,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000071,2023-08-16,8,3,2023,Wednesday,Hollandia Yoghurt 1L,Beverages,4,6757,27028,Ibadan,Bank Transfer,26-35,F,563454,48194,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000072,2024-10-19,10,4,2024,Saturday,Pringles Original 150g,Snacks & Confectionery,4,1385,5540,Warri,Cash,36-45,F,571931,85078,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000073,2022-11-06,11,4,2022,Sunday,Gino Tomatoes 400g,Canned & Packaged Foods,1,7225,7225,Abuja,POS,26-35,F,574703,22169,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000074,2022-07-04,7,3,2022,Monday,Maggi Cubes 40pk,Condiments & Seasonings,1,1062,1062,Benin City,Cash,46-60,F,558774,23308,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000075,2024-02-09,2,1,2024,Friday,Indomie Noodles 70g,Snacks & Confectionery,12,4207,50484,Aba,Bank Transfer,46-60,F,543518,21259,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000076,2022-12-12,12,4,2022,Monday,Beans Brown 5kg,Grains & Cereals,3,3187,9561,Abuja,Cash,46-60,M,538369,22550,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000077,2022-05-24,5,2,2022,Tuesday,Wheat Flour 5kg,Grains & Cereals,1,705,705,Owerri,Cash,36-45,F,554511,20707,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000078,2023-12-09,12,4,2023,Saturday,Hollandia Yoghurt 1L,Beverages,12,357,4284,Kano,Cash,26-35,F,581580,22704,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000079,2023-12-09,12,4,2023,Saturday,Maggi Cubes 40pk,Condiments & Seasonings,5,1785,8925,Port Harcourt,POS,26-35,M,537898,22834,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000080,2024-08-15,8,3,2024,Thursday,Omo Detergent 1kg,Personal Care,12,357,4284,Uyo,Bank Transfer,36-45,M,563237,22819,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000081,2022-11-07,11,4,2022,Monday,Cornedbeef 340g,Canned & Packaged Foods,1,2507,2507,Jos,Cash,26-35,M,574852,22063,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000082,2024-08-23,8,3,2024,Friday,Chin-Chin 500g,Snacks & Confectionery,2,8457,16914,Uyo,Cash,60+,F,564165,22796,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000083,2023-11-16,11,4,2023,Thursday,Cornedbeef 340g,Canned & Packaged Foods,6,2796,16776,Kano,POS,18-25,F,576644,22993,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000084,2023-06-05,6,2,2023,Monday,Maggi Cubes 40pk,Condiments & Seasonings,4,1062,4248,Port Harcourt,Cash,60+,F,555533,22675,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000085,2023-06-12,6,2,2023,Monday,Omo Detergent 1kg,Personal Care,2,1062,2124,Owerri,Cash,26-35,M,556474,84510A,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000086,2023-10-27,10,4,2023,Friday,Gala Sausage Roll,Snacks & Confectionery,2,4207,8414,Benin City,Cash,60+,M,573122,22720,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000087,2023-11-08,11,4,2023,Wednesday,Custard Powder 400g,Canned & Packaged Foods,1,7012,7012,Warri,Bank Transfer,26-35,F,575087,48129,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000088,2022-06-20,6,2,2022,Monday,Plantain Bunch,Fresh & Perishable,6,4207,25242,Abuja,Cash,26-35,F,557322,22617,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000089,2022-07-27,7,3,2022,Wednesday,Gino Tomatoes 400g,Canned & Packaged Foods,6,705,4230,Abuja,Bank Transfer,26-35,F,561515,21094,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000090,2023-08-23,8,3,2023,Wednesday,Onions 1kg,Fresh & Perishable,12,1232,14784,Onitsha,Bank Transfer,18-25,F,564162,23268,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000091,2023-02-02,2,1,2023,Thursday,Gala Sausage Roll,Snacks & Confectionery,1,6757,6757,Lagos,POS,26-35,M,542936,22692,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000092,2024-04-01,4,2,2024,Monday,Dangote Noodles 70g,Pasta & Noodles,4,3187,12748,Warri,POS,46-60,M,548632,22727,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000093,2023-03-03,3,1,2023,Friday,Dettol Antiseptic 500ml,Personal Care,6,9052,54312,Abuja,POS,26-35,F,545575,47570B,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000094,2024-06-02,6,2,2024,Sunday,Onions 1kg,Fresh & Perishable,3,2507,7521,Owerri,Cash,46-60,F,555383,21937,UCI Online Retail Dataset (Nigerian market adaptation)
